암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,아산엘비뇨의학과의원,의원,서울특별시,영등포구,"서울특별시 영등포구 양평로 22, 6층 (당산동6가)",비뇨의학과,2019-01-30
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,아산연세내과의원,의원,충청남도,아산시,"충청남도 아산시 아산로 118-3, 2층 203호 (온천동)",내과,2015-04-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,아산연세베스트내과의원,의원,경기도,고양시 일산동구,"경기도 고양시 일산동구 위시티4로 46, 201~203, 204 일부, 306호 (식사동, 위시티일산자이2단지아파트)",내과,2011-08-29
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNDEjJDEjJDQjJDgz,아산오름내과의원,의원,서울특별시,관악구,"서울특별시 관악구 시흥대로 578, 201호 (신림동)",내과,2024-10-17
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ2MiQyNjEyMjIjODEjJDEjJDYjJDgz,아산오케이치과의원,치과의원,충청남도,아산시,충청남도 아산시 둔포면 둔포로 34,치과,2009-12-23
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,아산온가족의원,의원,경기도,용인시 기흥구,"경기도 용인시 기흥구 새천년로 20, 그린프라자 401호 (신갈동)",일반의,2018-10-10
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,아산온유외과의원,의원,서울특별시,강서구,"서울특별시 강서구 양천로 490, 8층 801호 (등촌동)",외과,2024-03-15
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjODEjJDEjJDYjJDgz,아산우리소아청소년과의원,의원,경기도,시흥시,"경기도 시흥시 은계로 353, 2층 201호 (대야동)",소아청소년과,2020-02-21
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNDEjJDEjJDQjJDgz,아산우리약국,약국,충청남도,아산시,"충청남도 아산시 음봉면 아산온천로 228, 아산온천 101호",해당사항없음,2018-04-19
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,아산우리의원,의원,충청남도,아산시,충청남도 아산시 시민로 292 (용화동),일반의,2007-06-27
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjODEjJDEjJDYjJDgz,아산원탑정형외과의원,의원,서울특별시,서초구,"서울특별시 서초구 방배로33길 6, 3층 (방배동)",정형외과,2025-09-15
